       1       0     214    0.0000    0    0    0    0
    21    -0.868     6.162     4.654  0.000     0.01    -0.00     0.11     0.15  144   107
     2    20.497   -54.843  -886.209  0.006     0.00    -0.00    -0.15     0.15  152     0
    21    -0.214    -1.095     3.046  0.000     0.00     0.00     0.13     0.19  215   235
    21     1.914     0.868    -4.017  0.000     0.07    -0.03     0.04     0.21  123   307
    21    -0.790    -5.913     7.218  0.000    -0.03    -0.13     0.14     0.21  250   215
     2     0.936    -1.845     5.299  0.006    -0.01    -0.02     0.16     0.23  277     0
    21     0.918     2.654    -1.628  0.000     0.00     0.00    -0.04     0.24  200   143
    -3     2.949     0.468     1.590  0.199     0.00     0.00     0.17     0.25    0   214
    21    -3.780    -0.688     0.110  0.000    -0.18    -0.11     0.05     0.29  249   142
    21     4.293     0.360     0.723  0.000     0.18     0.03     0.03     0.29  252   156
    21    -0.876     2.439    -4.633  0.000    -0.05     0.12    -0.25     0.30  260   180
    21     2.831    -2.955    -0.479  0.000     0.15    -0.10     0.03     0.31  316   298
    21    -1.094    -1.973     4.656  0.000     0.01    -0.07     0.36     0.39  326   250
    21    -1.559    -0.512    -5.742  0.000    -0.07     0.06    -0.26     0.33  188   314
    21    -1.731     1.434     3.612  0.000    -0.00     0.00     0.33     0.33  151   267
    -3    -2.177     1.996    -4.828  0.199    -0.24     0.17    -0.32     0.59    0   186
    21     1.471    -0.355    -0.969  0.000     0.21    -0.11    -0.02     0.35  261   138
     1     3.737    -0.822     3.297  0.010     0.19    -0.02     0.14     0.35  156     0
    21    -2.357     1.621    -2.806  0.000    -0.14     0.14    -0.13     0.37  186   165
    21     1.109     3.828   -18.787  0.000     0.00     0.00    -0.46     0.46  175   227
    21    -2.546     2.015    -0.968  0.000    -0.28     0.12    -0.13     0.47  216   270
    21    -2.464     1.402    -0.635  0.000    -0.15     0.19    -0.37     0.59  122   163
    21     1.160     1.789     0.724  0.000     0.15     0.11    -0.15     0.55  194   147
    21    -1.511    -7.840    -0.005  0.000    -0.15    -0.53     0.10     0.59  179   161
    21     1.551     0.719    -7.744  0.000     0.01    -0.06    -0.61     0.62  278   208
    21     0.096    -1.268    -0.607  0.000     0.42    -0.22    -0.09     0.63  161   302
    21    -1.260     1.775    -0.378  0.000    -0.32     0.25    -0.13     0.64  104   226
    21     1.408    -3.847     6.105  0.000    -0.04    -0.39     0.47     0.64  209   108
     3     1.219    -1.408     0.056  0.199     0.20    -0.20     0.18     0.67  246     0
    21     0.150    -0.184     0.762  0.000    -0.01     0.28     0.02     1.16  271   144
    21    -0.308    -2.228   -37.830  0.000     0.01    -0.04    -0.74     0.74  187   285
    21     0.697    -0.083     1.297  0.000     0.26     0.19    -0.06     0.74  283   223
    21    -0.798    -3.126     4.159  0.000    -0.20    -0.23     0.20     1.30  133   150
    -2     0.772     2.950    -1.091  0.006     0.04     0.15     0.00     1.16    0   277
    21    -0.918    -0.707    -0.792  0.000    -0.64    -0.24    -0.01     0.80  105   244
     2    -2.648    15.109   -21.838  0.006    -0.13     0.39    -0.69     0.81  103     0
    21   -57.537    24.108    39.295  0.000    -0.67     0.23     0.41     0.82  126   101
    -2     1.858     0.442     0.621  0.006     0.55     0.05     0.57     0.83    0   113
    21    -0.520    -0.112    -1.535  0.000    -0.25     0.33    -0.68     1.05  313   188
    21     9.163   -32.851    43.955  0.000     0.08    -0.52     0.67     0.86  108   120
    21     0.134     0.445    -0.374  0.000     0.29    -0.28     0.16     0.86  143   274
    21     0.400     0.538    -1.613  0.000    -0.25     0.31    -0.67     1.05  262   224
    21    -0.919    -0.785    -0.012  0.000    -0.19    -0.23     0.15     1.30  206   121
    21    -1.496    -0.238    -0.539  0.000    -0.48     0.03    -0.14     0.91  244   249
    21     0.287     1.082   131.835  0.000    -0.00     0.00     0.94     0.94  294   148
    21     0.904     0.835    -0.759  0.000    -0.20     0.35    -0.60     0.99  224   115
     2    -1.268     0.745    -2.526  0.006     0.00     0.00    -1.02     1.02  141     0
    21   -22.782     5.579    52.279  0.000    -0.42     0.02     0.95     1.04  293   229
